"Transport_line","Transport_Time"
"3-19","20"
"3-20","5"
"3-21","20"
"3-22","20"
"3-23","12"
"3-24","9"
"3-25","20"
"3-26","19"
"3-27","20"
"3-28","7"
"3-4","19"
"3-5","16"
"3-6","13"
"3-7","5"
"3-8","5"
"3-9","17"
"4-10","8"
"4-11","10"
"4-12","18"
"4-13","20"
"4-14","11"
"4-15","10"
"4-16","18"
"4-17","15"
"4-18","11"
"4-19","11"
"4-20","18"
"4-21","6"
"4-22","16"
"4-23","15"
"4-24","10"
"4-25","20"
"4-26","8"
"4-27","16"
"4-28","12"
"4-7","8"
"4-8","5"
"4-9","14"
"5-10","15"
"5-11","19"
"5-12","13"
"5-13","20"
"5-14","14"
"5-15","20"
"5-16","7"
"5-17","13"
"5-18","11"
"5-19","5"
"5-20","8"
"5-21","6"
"5-22","7"
"5-23","5"
"5-24","10"
"5-25","20"
"5-26","6"
"5-27","11"
"5-28","15"
"5-7","14"
"5-8","7"
"5-9","17"
"6-10","13"
"6-11","14"
"6-12","17"
"6-13","6"
"6-14","10"
"6-15","9"
"6-16","12"
"6-17","14"
"6-18","19"
"6-19","18"
"6-20","15"
"6-21","13"
"6-22","19"
"6-23","13"
"6-24","13"
"6-25","5"
"6-26","19"
"6-27","15"
"6-28","6"
"6-7","11"
"6-8","14"
"6-9","17"
"7-12","11"
"7-13","13"
"7-14","5"
"7-15","20"
"7-16","16"
"7-17","5"
"7-18","7"
"7-19","18"
"7-20","15"
"7-21","10"
"7-22","7"
"7-23","20"
"7-24","18"
"7-25","9"
"7-26","14"
"7-27","19"
"7-28","10"
"8-12","19"
"8-13","9"
"8-14","7"
"8-15","15"
"8-16","16"
"8-17","15"
"8-18","10"
"8-19","20"
"8-20","20"
"8-21","7"
"8-22","10"
"8-23","15"
"8-24","17"
"8-25","7"
"8-26","15"
"8-27","8"
"8-28","13"
"9-12","16"
"9-13","15"
"9-14","15"
"9-15","6"
"9-16","9"
"9-17","14"
"9-18","19"
"9-19","19"
"9-20","8"
"9-21","10"
"9-22","17"
"9-23","12"
"9-24","8"
"9-25","6"
"9-26","9"
"9-27","13"
"9-28","8"
