"Transport_line","Transport_Time"
"26-29","12"
"26-30","10"
"3-10","12"
"3-11","15"
"3-12","16"
"3-13","12"
"3-14","10"
"3-15","15"
"3-16","20"
"3-17","6"
"3-18","17"
"3-19","11"
"3-20","10"
"3-21","7"
"3-22","15"
"3-23","14"
"3-24","16"
"3-25","14"
"3-26","10"
"3-27","16"
"3-28","13"
"3-29","11"
"3-30","12"
"3-5","13"
"3-6","5"
"3-7","5"
"3-8","15"
"3-9","14"
"4-10","9"
"4-11","10"
"4-12","15"
"4-13","5"
"4-14","5"
"4-15","14"
"4-16","6"
"4-17","9"
"4-18","16"
"4-19","8"
"4-20","7"
"4-21","5"
"4-22","6"
"4-23","17"
"4-24","9"
"4-25","9"
"4-26","11"
"4-27","14"
"4-28","10"
"4-29","11"
"4-30","13"
"4-5","7"
"4-6","15"
"4-7","13"
"4-8","17"
"4-9","14"
"5-10","8"
"5-11","19"
"5-12","11"
"5-13","6"
"5-14","10"
"5-15","16"
"5-16","12"
"5-17","6"
"5-18","11"
"5-19","14"
"5-20","15"
"5-21","16"
"5-22","13"
"5-23","5"
"5-24","17"
"5-25","20"
"5-26","5"
"5-27","8"
"5-28","9"
"5-29","13"
"5-30","12"
"6-10","10"
"6-11","11"
"6-12","11"
"6-13","5"
"6-14","20"
"6-15","16"
"6-16","20"
"6-17","16"
"6-18","5"
"6-19","9"
"6-20","6"
"6-21","14"
"6-22","9"
"6-23","18"
"6-24","17"
"6-25","6"
"6-26","12"
"6-27","20"
"6-28","19"
"6-29","8"
"6-30","17"
"7-10","13"
"7-11","19"
"7-12","16"
"7-13","14"
"7-14","19"
"7-15","18"
"7-16","13"
"7-17","11"
"7-18","7"
"7-19","15"
"7-20","18"
"7-21","11"
"7-22","7"
"7-23","10"
"7-24","12"
"7-25","9"
"7-26","7"
"7-27","11"
"7-28","5"
"7-29","7"
"7-30","17"
"8-10","20"
"8-11","9"
"8-12","19"
"8-13","10"
"8-14","20"
"8-15","7"
"8-16","11"
"8-17","7"
"8-18","13"
"8-19","10"
"8-20","18"
"8-21","15"
"8-22","9"
"8-23","9"
"8-24","19"
"8-25","19"
"8-26","8"
"8-27","12"
"8-28","6"
"8-29","12"
"8-30","13"
"9-10","16"
"9-11","17"
"9-12","19"
"9-13","10"
"9-14","12"
"9-15","17"
"9-16","7"
"9-17","9"
"9-18","5"
"9-19","9"
"9-20","10"
"9-21","13"
"9-22","15"
"9-23","9"
"9-24","13"
"9-25","8"
"9-26","5"
"9-27","19"
"9-28","13"
"9-29","14"
"9-30","10"
